year,registered_runners,finished_runners,wind_dir,wind_speed
1977,1400,1198,NE,13
1978,5460,5024,NW,8
1979,10082,10070,SW,19
1980,13576,11962,NE,8
1981,17000,15546,SW,10
1982,22210,20540,SW,13
1983,28173,25932,NE,5
1984,33312,30463,S,8
1985,39662,37736,S,7
1986,48406,45541,SW,15
1987,54261,50946,SW,13
1988,57298,53155,SW,12
1989,56280,52457,S,8
1990,54869,51122,SW,20
1991,60104,55794,S,13
1992,57651,53303,E,9
1993,57680,53206,SW,13
1994,60037,55195,W,16
1995,59100,54154,E,16
1996,61298,56156,NE,6
1997,55270,49467,S,15
1998,53389,48453,SW,10
1999,53898,47215,SW,14
2000,50401,45538,,0
2001,49532,45346,SE,6
2002,51282,45775,S,18
2003,44641,40027,S,13
2004,43514,39695,SW,13
2005,43842,40012,NE,12
2006,44756,40809,SW,17
2007,44180,40362,SW,12
2008,47528,43640,N,3
2009,51259,45477,SW,10
2010,55090,50721,SW,15
2011,56652,51303,SW,8
